BTCUSD · Bitfinex;GLI0 0 3M 0 EMA 30 60;;;;;
;;;;;;
Date · 1W;Open;High;Low;Close;Change;GLI Line
Mon 23 Feb '26;67,712.00;67,750.00;62,550.00;64,400.00;−3,310.0 (−4.89%);150.4
Mon 16 Feb '26;68,868.00;70,222.00;65,683.00;67,710.00;−1,170.0 (−1.70%);150.2
Mon 09 Feb '26;70,362.00;71,494.00;65,211.00;68,880.00;−1,514.0 (−2.15%);150.7
Mon 02 Feb '26;77,029.00;79,450.00;60,100.00;70,394.00;−6,617.0 (−8.59%);149.8
Mon 26 Jan '26;86,649.00;90,600.00;75,731.00;77,011.00;−9,642.0 (−11.13%);150
Mon 19 Jan '26;93,641.00;93,662.00;86,045.00;86,653.00;−6,998.0 (−7.47%);148.6
Mon 12 Jan '26;90,987.00;97,850.00;90,079.00;93,651.00;+2,667.0 (+2.93%);147.4
Mon 05 Jan '26;91,463.00;94,665.00;89,280.00;90,984.00;−472.0 (−0.52%);147.4
Mon 29 Dec '25;88,025.00;91,756.00;86,821.00;91,456.00;+3,443.0 (+3.91%);147.7
Mon 22 Dec '25;88,745.00;90,606.00;86,408.00;88,013.00;−713.0 (−0.80%);146.7
Mon 15 Dec '25;88,197.00;90,427.00;84,562.00;88,726.00;+545.0 (+0.62%);145.9
Mon 08 Dec '25;90,433.00;94,665.00;87,660.00;88,181.00;−2,292.0 (−2.53%);146.1
Mon 01 Dec '25;90,406.00;94,449.00;84,000.00;90,473.00;+60.0 (+0.07%);145.7
Mon 24 Nov '25;87,013.00;93,116.00;85,500.00;90,413.00;+3,405.0 (+3.91%);145.5
Mon 17 Nov '25;94,601.00;96,219.00;80,822.00;87,008.00;−7,592.0 (−8.03%);144.2
Mon 10 Nov '25;104,760.00;107,500.00;93,673.00;94,600.00;−10,180.0 (−9.72%);144.8
Mon 03 Nov '25;110,670.00;110,850.00;99,045.00;104,780.00;−5,930.0 (−5.36%);144.5
